,district,fiyat,,update_date,m2_brut,bina_yasi,kat_sayisi,kullanim_durumu,banyo_sayisi,creation_date,Type,m2_net,oda_sayisi,bulundugu_kat,isitma_tip,site
50,arnavutkoy,"1,150,000TL",,25 Şubat 2022,220 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,2,25 Şubat 2022,Konut,195 m2,4+2,5. Kat,Kombi Doğalgaz,Hayır
51,arnavutkoy,"1,000,000TL",,26 Şubat 2022,190 m2,3,5,Mülk Sahibi Oturuyor,1,26 Şubat 2022,Konut,160 m2,4+2,Çatı Katı,Kombi Doğalgaz,Hayır
52,arnavutkoy,"720,000TL",,02 Mart 2022,100 m2,0 (Yeni),5,Boş,1,27 Şubat 2022,Konut,95 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
53,arnavutkoy,"570,000TL",,03 Mart 2022,85 m2,10-May,4,Boş,1,25 Şubat 2022,Konut,70 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
54,arnavutkoy,"1,250,000TL",,01 Mart 2022,260 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,2,01 Mart 2022,Konut,250 m2,6+2,4. Kat,Kombi Doğalgaz,Hayır
55,arnavutkoy,"870,000TL",,28 Şubat 2022,170 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,1,28 Şubat 2022,Konut,150 m2,3+2,4. Kat,Kombi Doğalgaz,Hayır
56,arnavutkoy,"675,000TL",,02 Mart 2022,95 m2,1,4,Mülk Sahibi Oturuyor,1,28 Şubat 2022,Konut,84 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
57,arnavutkoy,"555,000TL",,28 Şubat 2022,90 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,1,28 Şubat 2022,Konut,85 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
58,arnavutkoy,"950,000TL",,01 Mart 2022,140 m2,0 (Yeni),4,Boş,1,28 Şubat 2022,Konut,130 m2,3+1,4. Kat,Kombi Doğalgaz,Hayır
59,arnavutkoy,"900,000TLarrow_downward%6",,01 Mart 2022,140 m2,0 (Yeni),3,Boş,1,28 Şubat 2022,Konut,130 m2,3+1,3. Kat,Kombi Doğalgaz,Hayır
